"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Q0003_BC00102","Q0003_BC00104","Q0003_BC00105","Q0003_BC00106","Q0003_BC00107","Q0003_BC00108","Q0003_BC00110","Q0003_BC00111","Q0003_BC00117","Q0003_BC00118","Q0003_BC00201","Q0003_BC00211","Q0003_BC00303","Q0003_BC00304","Q0003_BC00310","Q0003_BC00406","Q0003_BC00410-2","Q0003_BC00416","Q0003_BH404","Q0003_HB00604","Q0003_MC00105","Q0003_MC00111","Q0003_MC00114-1","Q0003_MC00115-2","Q0003_MC00201","Q0003_MC00203","Q0003_MC00205","Q0003_MC00210","Q0003_MC00211","Q0003_MC00214","Q0003_MC00215","Q0003_MC00216","Q0003_MC0026","Q0003_TC00102","Q0003_TC00512","Q0003_TC00516","Q0003_TC00522","Q0003_TC00523","R0047_DABST013","R0047_DADST035","R0047_MH0081","R0047_TC0201","R0047_TH0405","R0051_BC00101","R0051_BC00115","R0051_BC00306","R0051_BH00403","R0051_DADST084","R0051_DADST088","R0051_HK2002","R0051_TC00219","R0051_TC00402","R0051_TC00505"
"tagE_2","","Poly(glycerol-phosphate) alpha-glucosyltransferase","52","52","1","1","1810","27","7","","395","1472","1449","Q0003_BC00102_00047","Q0003_BC00104_00357","Q0003_BC00105_01205","Q0003_BC00106_00653","Q0003_BC00107_00651","","Q0003_BC00110_00962","Q0003_BC00111_01496","Q0003_BC00117_01068","Q0003_BC00118_00650","Q0003_BC00201_00047","Q0003_BC00211_01256","Q0003_BC00303_00222","Q0003_BC00304_01542","Q0003_BC00310_00869","Q0003_BC00406_01475","Q0003_BC00410-2_01140","Q0003_BC00416_02473","Q0003_BH404_01543","Q0003_HB00604_01624","Q0003_MC00105_00720","Q0003_MC00111_00648","Q0003_MC00114-1_01700","Q0003_MC00115-2_00648","Q0003_MC00201_00701","Q0003_MC00203_00231","Q0003_MC00205_01243","Q0003_MC00210_01026","Q0003_MC00211_00800","Q0003_MC00214_01227","Q0003_MC00215_01086","Q0003_MC00216_01248","Q0003_MC0026_02379","Q0003_TC00102_01270","Q0003_TC00512_00047","Q0003_TC00516_01625","Q0003_TC00522_01449","Q0003_TC00523_01577","R0047_DABST013_02669","R0047_DADST035_02205","R0047_MH0081_00643","R0047_TC0201_00396","R0047_TH0405_00740","R0051_BC00101_00692","R0051_BC00115_00501","R0051_BC00306_00760","R0051_BH00403_00701","R0051_DADST084_00341","R0051_DADST088_01038","R0051_HK2002_00003","R0051_TC00219_01409","R0051_TC00402_02717","R0051_TC00505_00039"
"group_481","","hypothetical protein","52","52","1","1","2268","4","57","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","116","122","116","Q0003_BC00102_00430","Q0003_BC00104_01006","Q0003_BC00105_02326","Q0003_BC00106_00270","Q0003_BC00107_00268","Q0003_BC00108_00897","Q0003_BC00110_01763","Q0003_BC00111_01904","Q0003_BC00117_02243","Q0003_BC00118_01583","Q0003_BC00201_00453","Q0003_BC00211_01906","Q0003_BC00303_02090","Q0003_BC00304_01159","Q0003_BC00310_01768","Q0003_BC00406_01544","Q0003_BC00410-2_00749","Q0003_BC00416_01340","Q0003_BH404_00747","Q0003_HB00604_01100","Q0003_MC00105_00999","Q0003_MC00111_00264","Q0003_MC00114-1_01088","Q0003_MC00115-2_00264","Q0003_MC00201_01084","Q0003_MC00203_01650","Q0003_MC00205_01626","Q0003_MC00210_01653","Q0003_MC00211_02091","Q0003_MC00214_01610","Q0003_MC00215_00703","Q0003_MC00216_01631","Q0003_MC0026_01894","Q0003_TC00102_01566","Q0003_TC00512_00430","Q0003_TC00516_00926","Q0003_TC00522_00674","Q0003_TC00523_01012","R0047_DABST013_00666","R0047_DADST035_00956","R0047_MH0081_00511","R0047_TC0201_00645","R0047_TH0405_00565","R0051_BC00101_01673","R0051_BC00115_01749","R0051_BC00306_00811","R0051_BH00403_01084","R0051_DADST084_02199","R0051_DADST088_02475","","R0051_TC00219_00166","R0051_TC00402_01162","R0051_TC00505_00420"
"group_584","","hypothetical protein","52","52","1","1","1557","153","1","","236","236","236","Q0003_BC00102_02460","Q0003_BC00104_02427","Q0003_BC00105_00748","Q0003_BC00106_02427","Q0003_BC00107_02459","Q0003_BC00108_01137","Q0003_BC00110_01014","Q0003_BC00111_00991","Q0003_BC00117_00751","Q0003_BC00118_02037","Q0003_BC00201_02480","Q0003_BC00211_00408","Q0003_BC00303_02675","Q0003_BC00304_00916","","Q0003_BC00406_00207","Q0003_BC00410-2_00445","Q0003_BC00416_00977","Q0003_BH404_01987","Q0003_HB00604_02531","Q0003_MC00105_02458","Q0003_MC00111_01742","Q0003_MC00114-1_02090","Q0003_MC00115-2_01741","Q0003_MC00201_01387","Q0003_MC00203_00934","Q0003_MC00205_01005","Q0003_MC00210_00789","Q0003_MC00211_00401","Q0003_MC00214_00355","Q0003_MC00215_01179","Q0003_MC00216_01010","Q0003_MC0026_00787","Q0003_TC00102_00842","Q0003_TC00512_02433","Q0003_TC00516_02595","Q0003_TC00522_02603","Q0003_TC00523_02600","R0047_DABST013_02211","R0047_DADST035_00769","R0047_MH0081_01903","R0047_TC0201_02391","R0047_TH0405_02308","R0051_BC00101_00994","R0051_BC00115_00889","R0051_BC00306_02417","R0051_BH00403_01490","R0051_DADST084_01057","R0051_DADST088_00273","R0051_HK2002_01087","R0051_TC00219_02522","R0051_TC00402_00437","R0051_TC00505_00721"
"group_637","","putative oxidoreductase","52","52","1","1","2167","104","1","","782","1127","1100","Q0003_BC00102_00345","Q0003_BC00104_00921","Q0003_BC00105_00059","Q0003_BC00106_00355","Q0003_BC00107_00353","Q0003_BC00108_00816","Q0003_BC00110_00658","Q0003_BC00111_01194","Q0003_BC00117_01552","Q0003_BC00118_01458","Q0003_BC00201_00368","Q0003_BC00211_01970","Q0003_BC00303_02312","Q0003_BC00304_01239","Q0003_BC00310_00773","Q0003_BC00406_01902","Q0003_BC00410-2_00830","Q0003_BC00416_01420","Q0003_BH404_01864","Q0003_HB00604_02079","Q0003_MC00105_01963","Q0003_MC00111_00348","Q0003_MC00114-1_01762","Q0003_MC00115-2_00348","Q0003_MC00201_01004","Q0003_MC00203_02083","Q0003_MC00205_01546","Q0003_MC00210_01329","Q0003_MC00211_01103","Q0003_MC00214_01530","Q0003_MC00215_00783","Q0003_MC00216_01551","Q0003_MC0026_00899","Q0003_TC00102_02051","Q0003_TC00512_00345","Q0003_TC00516_02304","Q0003_TC00522_02136","Q0003_TC00523_01984","R0047_DABST013_00582","R0047_DADST035_00351","","R0047_TC0201_00560","R0047_TH0405_01641","R0051_BC00101_02399","R0051_BC00115_01648","R0051_BC00306_01778","R0051_BH00403_01004","R0051_DADST084_02164","R0051_DADST088_02151","R0051_HK2002_00743","R0051_TC00219_00081","R0051_TC00402_01246","R0051_TC00505_00337"
"ythB","","Putative cytochrome bd menaquinol oxidase subunit II","52","52","1","1","2321","93","2","","701","1019","1012","Q0003_BC00102_00477","Q0003_BC00104_01053","Q0003_BC00105_02602","Q0003_BC00106_00221","Q0003_BC00107_00220","Q0003_BC00108_00945","Q0003_BC00110_01811","Q0003_BC00111_01856","Q0003_BC00117_02291","Q0003_BC00118_01535","Q0003_BC00201_00500","Q0003_BC00211_01954","Q0003_BC00303_02042","Q0003_BC00304_01111","Q0003_BC00310_01439","Q0003_BC00406_01592","Q0003_BC00410-2_00700","Q0003_BC00416_01292","Q0003_BH404_00795","Q0003_HB00604_01052","Q0003_MC00105_00951","Q0003_MC00111_00217","Q0003_MC00114-1_01134","Q0003_MC00115-2_00217","Q0003_MC00201_01132","Q0003_MC00203_01602","Q0003_MC00205_01674","Q0003_MC00210_01605","Q0003_MC00211_02139","Q0003_MC00214_01658","Q0003_MC00215_00655","Q0003_MC00216_01679","Q0003_MC0026_02550","Q0003_TC00102_01614","Q0003_TC00512_00477","Q0003_TC00516_00973","Q0003_TC00522_00626","Q0003_TC00523_00964","R0047_DABST013_02365","R0047_DADST035_00908","R0047_MH0081_00464","R0047_TC0201_02275","R0047_TH0405_00917","R0051_BC00101_01625","R0051_BC00115_01985","R0051_BC00306_00858","R0051_BH00403_01132","R0051_DADST084_02247","R0051_DADST088_02523","","R0051_TC00219_00213","R0051_TC00402_01576","R0051_TC00505_00467"
"azoB","","NAD(P)H azoreductase","52","52","1","1","2782","85","2","","428","821","736","Q0003_BC00102_00760","Q0003_BC00104_00055","Q0003_BC00105_00933","Q0003_BC00106_00955","Q0003_BC00107_00953","Q0003_BC00108_01842","Q0003_BC00110_00565","Q0003_BC00111_00161","Q0003_BC00117_00319","Q0003_BC00118_01200","Q0003_BC00201_01440","Q0003_BC00211_00201","Q0003_BC00303_01132","Q0003_BC00304_00047","Q0003_BC00310_00683","Q0003_BC00406_01653","Q0003_BC00410-2_01268","Q0003_BC00416_00138","Q0003_BH404_00479","Q0003_HB00604_01680","Q0003_MC00105_01313","Q0003_MC00111_01039","Q0003_MC00114-1_00988","Q0003_MC00115-2_01039","Q0003_MC00201_00493","","Q0003_MC00205_00490","Q0003_MC00210_00047","Q0003_MC00211_00194","Q0003_MC00214_00724","Q0003_MC00215_00490","Q0003_MC00216_00161","Q0003_MC0026_01204","Q0003_TC00102_01890","Q0003_TC00512_00760","Q0003_TC00516_01695","Q0003_TC00522_01721","Q0003_TC00523_00551","R0047_DABST013_01278","R0047_DADST035_01980","R0047_MH0081_00165","R0047_TC0201_00016","R0047_TH0405_00957","R0051_BC00101_00565","R0051_BC00115_00805","R0051_BC00306_00065","R0051_BH00403_00162","R0051_DADST084_01491","R0051_DADST088_00673","R0051_HK2002_01548","R0051_TC00219_00774","R0051_TC00402_01879","R0051_TC00505_01186"
"group_67","","hypothetical protein","52","52","1","1","1635","1","1258","","173","1340","327","Q0003_BC00102_02432","Q0003_BC00104_02455","Q0003_BC00105_00774","Q0003_BC00106_02455","Q0003_BC00107_02431","Q0003_BC00108_01163","Q0003_BC00110_00988","Q0003_BC00111_00965","Q0003_BC00117_00725","Q0003_BC00118_02011","Q0003_BC00201_02508","Q0003_BC00211_00434","Q0003_BC00303_02592","Q0003_BC00304_00890","Q0003_BC00310_01900","Q0003_BC00406_00181","Q0003_BC00410-2_00471","Q0003_BC00416_00951","Q0003_BH404_01954","Q0003_HB00604_02446","Q0003_MC00105_02410","Q0003_MC00111_01770","Q0003_MC00114-1_02062","Q0003_MC00115-2_01769","Q0003_MC00201_01361","Q0003_MC00203_00908","Q0003_MC00205_00979","Q0003_MC00210_00763","Q0003_MC00211_00427","Q0003_MC00214_00329","Q0003_MC00215_01205","Q0003_MC00216_00984","Q0003_MC0026_00761","Q0003_TC00102_00868","Q0003_TC00512_02461","Q0003_TC00516_02531","Q0003_TC00522_02521","Q0003_TC00523_02533","R0047_DABST013_02185","R0047_DADST035_00743","R0047_MH0081_01931","R0047_TC0201_02457","R0047_TH0405_02577","R0051_BC00101_01020","R0051_BC00115_00915","R0051_BC00306_02558","R0051_BH00403_01464","R0051_DADST084_01083","R0051_DADST088_00247","R0051_HK2002_01116","R0051_TC00219_02494","R0051_TC00402_00411",""
"yicL","","putative inner membrane transporter YicL","52","52","1","1","2728","196","1","","830","1043","968","Q0003_BC00102_00801","Q0003_BC00104_00096","Q0003_BC00105_00891","Q0003_BC00106_00914","Q0003_BC00107_00912","Q0003_BC00108_01883","Q0003_BC00110_00606","Q0003_BC00111_00119","Q0003_BC00117_00361","Q0003_BC00118_01158","Q0003_BC00201_01399","Q0003_BC00211_00242","Q0003_BC00303_01168","Q0003_BC00304_00006","Q0003_BC00310_00724","Q0003_BC00406_01694","Q0003_BC00410-2_01224","Q0003_BC00416_00097","Q0003_BH404_00519","Q0003_HB00604_01716","Q0003_MC00105_01277","Q0003_MC00111_00997","Q0003_MC00114-1_01030","Q0003_MC00115-2_00997","Q0003_MC00201_00534","Q0003_MC00203_01153","Q0003_MC00205_00531","Q0003_MC00210_00006","Q0003_MC00211_00235","Q0003_MC00214_00765","Q0003_MC00215_00531","Q0003_MC00216_00120","Q0003_MC0026_01245","Q0003_TC00102_01932","Q0003_TC00512_00801","Q0003_TC00516_01731","Q0003_TC00522_01685","Q0003_TC00523_00515","R0047_DABST013_00389","R0047_DADST035_01938","R0047_MH0081_00207","R0047_TC0201_00057","R0047_TH0405_01388","R0051_BC00101_00606","R0051_BC00115_00846","R0051_BC00306_00101","R0051_BH00403_00121","R0051_DADST084_01533","R0051_DADST088_00631","","R0051_TC00219_00733","R0051_TC00402_00597","R0051_TC00505_01228"
"epsF","","Type II secretion system protein F","52","52","1","1","1315","117","2","","593","1070","1051","Q0003_BC00102_01092","Q0003_BC00104_00772","Q0003_BC00105_00548","Q0003_BC00106_01094","Q0003_BC00107_01092","Q0003_BC00108_01501","Q0003_BC00110_01540","Q0003_BC00111_01841","Q0003_BC00117_01353","Q0003_BC00118_00376","Q0003_BC00201_00909","Q0003_BC00211_01313","Q0003_BC00303_00870","Q0003_BC00304_01599","Q0003_BC00310_01031","Q0003_BC00406_01059","Q0003_BC00410-2_00250","Q0003_BC00416_01035","Q0003_BH404_00256","Q0003_HB00604_00240","Q0003_MC00105_00207","Q0003_MC00111_01524","Q0003_MC00114-1_00058","Q0003_MC00115-2_01524","Q0003_MC00201_01830","Q0003_MC00203_01203","Q0003_MC00205_01688","Q0003_MC00210_01481","Q0003_MC00211_01903","Q0003_MC00214_01672","Q0003_MC00215_01784","Q0003_MC00216_01824","Q0003_MC0026_01375","Q0003_TC00102_01257","Q0003_TC00512_01205","Q0003_TC00516_00207","Q0003_TC00522_00240","Q0003_TC00523_00240","R0047_DABST013_01733","R0047_DADST035_00204","R0047_MH0081_01514","R0047_TC0201_01234","R0047_TH0405_01464","R0051_BC00101_01490","R0051_BC00115_02486","","R0051_BH00403_01676","R0051_DADST084_00153","R0051_DADST088_00473","R0051_HK2002_00470","R0051_TC00219_00985","R0051_TC00402_01024","R0051_TC00505_00982"
"mepA","","Multidrug export protein MepA","52","52","1","1","4661","48","4","","860","1355","1318","Q0003_BC00102_01672","Q0003_BC00104_01427","Q0003_BC00105_01708","Q0003_BC00106_01702","Q0003_BC00107_01672","Q0003_BC00108_00067","Q0003_BC00110_00067","Q0003_BC00111_00595","Q0003_BC00117_01711","Q0003_BC00118_00862","Q0003_BC00201_01955","Q0003_BC00211_00958","Q0003_BC00303_00567","Q0003_BC00304_00471","Q0003_BC00310_00555","Q0003_BC00406_00316","","Q0003_BC00416_00564","Q0003_BH404_01348","Q0003_HB00604_00790","Q0003_MC00105_02007","Q0003_MC00111_01851","Q0003_MC00114-1_01277","Q0003_MC00115-2_01850","Q0003_MC00201_00069","Q0003_MC00203_01853","Q0003_MC00205_00066","Q0003_MC00210_00471","Q0003_MC00211_01346","Q0003_MC00214_00951","Q0003_MC00215_00066","Q0003_MC00216_00584","Q0003_MC0026_00066","Q0003_TC00102_00380","Q0003_TC00512_01700","Q0003_TC00516_00792","Q0003_TC00522_00810","Q0003_TC00523_01272","R0047_DABST013_00073","R0047_DADST035_01826","R0047_MH0081_01200","R0047_TC0201_00979","R0047_TH0405_01084","R0051_BC00101_00067","R0051_BC00115_00236","R0051_BC00306_01564","R0051_BH00403_00585","R0051_DADST084_00905","R0051_DADST088_01364","R0051_HK2002_01130","R0051_TC00219_01760","R0051_TC00402_00281","R0051_TC00505_01825"
"ydjM","","Inner membrane protein YdjM","52","52","1","1","269","120","2","","332","515","507","Q0003_BC00102_02302","Q0003_BC00104_02322","Q0003_BC00105_01430","Q0003_BC00106_02322","Q0003_BC00107_02301","Q0003_BC00108_02429","Q0003_BC00110_02409","Q0003_BC00111_02255","Q0003_BC00117_01293","Q0003_BC00118_01735","Q0003_BC00201_02395","Q0003_BC00211_02367","Q0003_BC00303_02706","Q0003_BC00304_01857","","Q0003_BC00406_02075","Q0003_BC00410-2_02080","Q0003_BC00416_02164","Q0003_BH404_00875","Q0003_HB00604_02524","Q0003_MC00105_02485","Q0003_MC00111_02454","Q0003_MC00114-1_02181","Q0003_MC00115-2_02453","Q0003_MC00201_02266","Q0003_MC00203_02244","Q0003_MC00205_02308","Q0003_MC00210_02287","Q0003_MC00211_02321","Q0003_MC00214_02453","Q0003_MC00215_01801","Q0003_MC00216_02335","Q0003_MC0026_02087","Q0003_TC00102_02130","Q0003_TC00512_02303","Q0003_TC00516_02570","Q0003_TC00522_02578","Q0003_TC00523_02570","R0047_DABST013_02091","R0047_DADST035_02378","R0047_MH0081_02418","R0047_TC0201_01706","R0047_TH0405_02385","R0051_BC00101_02272","R0051_BC00115_01354","R0051_BC00306_02387","R0051_BH00403_02265","R0051_DADST084_02327","R0051_DADST088_01694","R0051_HK2002_00596","R0051_TC00219_02391","R0051_TC00402_02451","R0051_TC00505_02518"
"group_807","","2-oxoglutaramate amidase","52","52","1","1","3940","4","38","","494","785","779","Q0003_BC00102_02477","Q0003_BC00104_02472","Q0003_BC00105_02411","Q0003_BC00106_02479","Q0003_BC00107_02476","Q0003_BC00108_02508","Q0003_BC00110_02559","Q0003_BC00111_02198","Q0003_BC00117_02535","Q0003_BC00118_02065","Q0003_BC00201_01757","Q0003_BC00211_01700","Q0003_BC00303_02126","Q0003_BC00304_02109","Q0003_BC00310_02480","Q0003_BC00406_02490","","Q0003_BC00416_02106","Q0003_BH404_02316","Q0003_HB00604_02114","Q0003_MC00105_01767","Q0003_MC00111_02053","Q0003_MC00114-1_01629","Q0003_MC00115-2_02126","Q0003_MC00201_02496","Q0003_MC00203_02404","Q0003_MC00205_02345","Q0003_MC00210_02570","Q0003_MC00211_01748","Q0003_MC00214_02429","Q0003_MC00215_02504","Q0003_MC00216_01993","Q0003_MC0026_02398","Q0003_TC00102_02282","Q0003_TC00512_02478","Q0003_TC00516_02203","Q0003_TC00522_02190","Q0003_TC00523_02038","R0047_DABST013_01415","R0047_DADST035_01721","R0047_MH0081_02356","R0047_TC0201_01672","R0047_TH0405_01743","R0051_BC00101_02562","R0051_BC00115_02425","R0051_BC00306_01028","R0051_BH00403_02505","R0051_DADST084_01974","R0051_DADST088_01880","R0051_HK2002_01384","R0051_TC00219_02332","R0051_TC00402_02043","R0051_TC00505_02458"
"group_949","","Putative metallophosphoesterase MG207","52","52","1","1","2388","28","6","","503","503","503","Q0003_BC00102_00540","Q0003_BC00104_01116","Q0003_BC00105_01449","Q0003_BC00106_00158","Q0003_BC00107_00157","Q0003_BC00108_01974","Q0003_BC00110_02204","Q0003_BC00111_00780","Q0003_BC00117_00537","Q0003_BC00118_01918","Q0003_BC00201_00563","Q0003_BC00211_00702","Q0003_BC00303_01979","Q0003_BC00304_00622","Q0003_BC00310_01282","Q0003_BC00406_02147","Q0003_BC00410-2_00637","Q0003_BC00416_00767","","Q0003_HB00604_00989","Q0003_MC00105_00888","Q0003_MC00111_00154","Q0003_MC00114-1_01197","Q0003_MC00115-2_00154","Q0003_MC00201_02146","Q0003_MC00203_00337","Q0003_MC00205_00710","Q0003_MC00210_02095","Q0003_MC00211_00694","Q0003_MC00214_00060","Q0003_MC00215_01473","Q0003_MC00216_00716","Q0003_MC0026_00493","Q0003_TC00102_01979","Q0003_TC00512_00540","Q0003_TC00516_01036","Q0003_TC00522_00563","Q0003_TC00523_00901","R0047_DABST013_01506","R0047_DADST035_00845","R0047_MH0081_00386","R0047_TC0201_01956","R0047_TH0405_00854","R0051_BC00101_01921","R0051_BC00115_01574","R0051_BC00306_02286","R0051_BH00403_01195","R0051_DADST084_01815","R0051_DADST088_00060","R0051_HK2002_01047","R0051_TC00219_00276","R0051_TC00402_01513","R0051_TC00505_00530"
"group_964","","hypothetical protein","52","52","1","1","2801","25","6","","395","587","583","Q0003_BC00102_00743","Q0003_BC00104_00038","Q0003_BC00105_00950","Q0003_BC00106_00972","Q0003_BC00107_00970","Q0003_BC00108_01825","Q0003_BC00110_00548","Q0003_BC00111_00178","Q0003_BC00117_00302","Q0003_BC00118_01217","Q0003_BC00201_01457","Q0003_BC00211_00184","Q0003_BC00303_01114","Q0003_BC00304_00064","Q0003_BC00310_00666","Q0003_BC00406_01636","","Q0003_BC00416_00155","Q0003_BH404_00462","Q0003_HB00604_01662","Q0003_MC00105_01331","Q0003_MC00111_01057","Q0003_MC00114-1_00970","Q0003_MC00115-2_01057","Q0003_MC00201_00476","Q0003_MC00203_00719","Q0003_MC00205_00473","Q0003_MC00210_00064","Q0003_MC00211_00177","Q0003_MC00214_00707","Q0003_MC00215_00473","Q0003_MC00216_00178","Q0003_MC0026_01187","Q0003_TC00102_01873","Q0003_TC00512_00743","Q0003_TC00516_01677","Q0003_TC00522_01739","Q0003_TC00523_00569","R0047_DABST013_01295","R0047_DADST035_01997","R0047_MH0081_00148","R0047_TC0201_02554","R0047_TH0405_00975","R0051_BC00101_00548","R0051_BC00115_00788","R0051_BC00306_00047","R0051_BH00403_00179","R0051_DADST084_01474","R0051_DADST088_00690","R0051_HK2002_02229","R0051_TC00219_00791","R0051_TC00402_01896","R0051_TC00505_02347"
"group_1094","","hypothetical protein","51","51","1","1","4748","106","1","","614","1166","1133","Q0003_BC00102_01726","Q0003_BC00104_01373","Q0003_BC00105_01924","Q0003_BC00106_01648","Q0003_BC00107_01726","Q0003_BC00108_00194","Q0003_BC00110_00194","Q0003_BC00111_00532","Q0003_BC00117_02176","Q0003_BC00118_01398","Q0003_BC00201_02009","Q0003_BC00211_00903","Q0003_BC00303_00509","Q0003_BC00304_00416","Q0003_BC00310_00501","Q0003_BC00406_00260","","Q0003_BC00416_00508","Q0003_BH404_01407","Q0003_HB00604_00732","Q0003_MC00105_00734","Q0003_MC00111_01905","Q0003_MC00114-1_01331","Q0003_MC00115-2_01904","Q0003_MC00201_00124","Q0003_MC00203_00526","Q0003_MC00205_00121","Q0003_MC00210_00416","Q0003_MC00211_01291","Q0003_MC00214_01006","Q0003_MC00215_00121","Q0003_MC00216_00530","Q0003_MC0026_00121","Q0003_TC00102_00317","Q0003_TC00512_01646","Q0003_TC00516_00734","Q0003_TC00522_00868","Q0003_TC00523_01214","R0047_DABST013_00124","R0047_DADST035_01894","R0047_MH0081_02201","R0047_TC0201_00925","R0047_TH0405_02323","R0051_BC00101_00194","R0051_BC00115_00111","","R0051_BH00403_00530","R0051_DADST084_00962","R0051_DADST088_01421","R0051_HK2002_00904","R0051_TC00219_01706","R0051_TC00402_00230","R0051_TC00505_01881"
"spa","","Immunoglobulin G-binding protein A","51","51","1","1","4204","94","1","","350","1562","1410","Q0003_BC00102_01371","Q0003_BC00104_01213","Q0003_BC00105_00276","Q0003_BC00106_01424","Q0003_BC00107_01421","Q0003_BC00108_00362","Q0003_BC00110_00362","Q0003_BC00111_00360","Q0003_BC00117_00120","Q0003_BC00118_00146","Q0003_BC00201_01643","","Q0003_BC00303_00352","Q0003_BC00304_00248","Q0003_BC00310_00140","Q0003_BC00406_02391","Q0003_BC00410-2_01477","Q0003_BC00416_00340","Q0003_BH404_00658","Q0003_HB00604_00575","Q0003_MC00105_01099","Q0003_MC00111_01286","","Q0003_MC00115-2_01286","Q0003_MC00201_00292","Q0003_MC00203_00694","Q0003_MC00205_00289","Q0003_MC00210_00248","Q0003_MC00211_01122","Q0003_MC00214_01174","Q0003_MC00215_00289","Q0003_MC00216_00361","Q0003_MC0026_00289","Q0003_TC00102_00145","Q0003_TC00512_01371","Q0003_TC00516_00577","Q0003_TC00522_00398","Q0003_TC00523_00736","R0047_DABST013_00288","R0047_DADST035_01032","R0047_MH0081_01647","R0047_TC0201_00877","R0047_TH0405_00197","R0051_BC00101_00362","R0051_BC00115_01034","R0051_BC00306_01624","R0051_BH00403_00362","R0051_DADST084_00680","R0051_DADST088_00870","R0051_HK2002_01536","R0051_TC00219_01545","R0051_TC00402_00066","R0051_TC00505_01630"
"group_1147","","hypothetical protein","51","51","1","1","1073","13","4","","404","443","437","Q0003_BC00102_02071","Q0003_BC00104_02071","Q0003_BC00105_01845","Q0003_BC00106_02071","Q0003_BC00107_02071","Q0003_BC00108_01372","Q0003_BC00110_01280","Q0003_BC00111_01623","Q0003_BC00117_01989","Q0003_BC00118_02376","Q0003_BC00201_02170","Q0003_BC00211_01762","Q0003_BC00303_01491","Q0003_BC00304_01817","Q0003_BC00310_01923","Q0003_BC00406_01921","Q0003_BC00410-2_00027","Q0003_BC00416_01253","","Q0003_HB00604_01895","Q0003_MC00105_01725","Q0003_MC00111_02269","Q0003_MC00114-1_02352","Q0003_MC00115-2_02268","Q0003_MC00201_01612","Q0003_MC00203_01522","Q0003_MC00205_02049","Q0003_MC00210_01525","Q0003_MC00211_01947","Q0003_MC00214_02035","Q0003_MC00215_01566","Q0003_MC00216_02150","Q0003_MC0026_01592","Q0003_TC00102_01038","Q0003_TC00512_02072","Q0003_TC00516_02055","Q0003_TC00522_01799","Q0003_TC00523_01800","R0047_DABST013_01782","R0047_DADST035_02590","R0047_MH0081_02489","R0047_TC0201_02431","R0047_TH0405_02052","R0051_BC00101_01228","R0051_BC00115_00579","R0051_BC00306_02137","R0051_BH00403_01907","R0051_DADST084_01332","R0051_DADST088_02026","","R0051_TC00219_02053","R0051_TC00402_02196","R0051_TC00505_02319"
"sdrM","","Multidrug efflux pump SdrM","51","51","1","1","266","57","1","","530","1343","1327","Q0003_BC00102_02299","Q0003_BC00104_02325","Q0003_BC00105_01433","Q0003_BC00106_02325","Q0003_BC00107_02298","Q0003_BC00108_02432","Q0003_BC00110_02406","Q0003_BC00111_02252","Q0003_BC00117_01296","Q0003_BC00118_01738","Q0003_BC00201_02392","Q0003_BC00211_02370","Q0003_BC00303_02709","Q0003_BC00304_01854","Q0003_BC00310_02512","Q0003_BC00406_02078","Q0003_BC00410-2_02083","Q0003_BC00416_02161","","Q0003_HB00604_02527","Q0003_MC00105_02482","Q0003_MC00111_02451","Q0003_MC00114-1_02184","Q0003_MC00115-2_02450","Q0003_MC00201_02263","Q0003_MC00203_02247","Q0003_MC00205_02311","Q0003_MC00210_02290","Q0003_MC00211_02318","Q0003_MC00214_02450","Q0003_MC00215_01798","Q0003_MC00216_02332","Q0003_MC0026_02084","Q0003_TC00102_02127","Q0003_TC00512_02300","Q0003_TC00516_02573","Q0003_TC00522_02581","Q0003_TC00523_02567","R0047_DABST013_02088","R0047_DADST035_02375","R0047_MH0081_02415","R0047_TC0201_01703","R0047_TH0405_02388","R0051_BC00101_02269","R0051_BC00115_01351","R0051_BC00306_02384","R0051_BH00403_02262","R0051_DADST084_02324","R0051_DADST088_01697","","R0051_TC00219_02394","R0051_TC00402_02454","R0051_TC00505_02521"
