Sample	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
Q0003_TC00522	blaZ	99.88	846/846	100.0	1..846	NODE_20_length_20857_cov_183.306995	11071..11916	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP010941
Q0003_TC00522	erm(C)	100.00	735/735	100.0	1..735	NODE_27_length_2600_cov_4155.382936	660..1394	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
Q0003_TC00522	dfrG	100.00	498/498	100.0	1..498	NODE_1_length_467504_cov_23.587526	174937..175434	Trimethoprim	AB205645
Q0003_TC00523	blaZ	99.88	846/846	100.0	1..846	NODE_20_length_20857_cov_135.079691	15518..16363	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP010941
Q0003_TC00523	erm(C)	100.00	735/735	100.0	1..735	NODE_27_length_2600_cov_9244.114032	930..1664	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
Q0003_TC00523	dfrG	100.00	498/498	100.0	1..498	NODE_1_length_489619_cov_27.980386	175546..176043	Trimethoprim	AB205645
R0047_DABST013	blaZ	99.89	888/888	100.0	1..888	NODE_8_length_90443_cov_7.394603	43075..43962	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP003979
R0047_DABST013	erm(C)	100.00	735/735	100.0	1..735	NODE_56_length_2600_cov_743.833401	156..890	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
R0047_DABST013	tet(K)	99.86	715/888	80.51801801801803	1..715	NODE_71_length_1009_cov_1.585034	295..1009	Doxycycline, Tetracycline	J01764
R0047_DABST013	dfrG	100.00	498/498	100.0	1..498	NODE_11_length_68765_cov_6.919942	42813..43310	Trimethoprim	AB205645
R0047_DADST035	blaZ	100.00	888/888	100.0	1..888	NODE_8_length_179642_cov_7.744317	70143..71030	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP003979
R0047_DADST035	dfrG	100.00	498/498	100.0	1..498	NODE_15_length_51298_cov_8.204120	49841..50338	Trimethoprim	AB205645
R0047_MH0081	aac(6')-aph(2'')	100.00	1440/1440	100.0	1..1440	NODE_71_length_1918_cov_5.243032	80..1519	Gentamicin, Tobramycin, Netilmicin, Kanamycin, Amikacin, Dibekacin, Isepamicin, Fortimicin, Streptomycin	M13771
R0047_MH0081	blaZ	100.00	846/846	100.0	1..846	NODE_49_length_8728_cov_5.015580	1228..2073	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
R0047_MH0081	mecA	100.00	2007/2007	100.0	1..2007	NODE_53_length_5295_cov_7.822368	2765..4771	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam	NC_007168
R0047_MH0081	erm(C)	100.00	735/735	100.0	1..735	NODE_65_length_2600_cov_340.134654	718..1452	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
R0047_MH0081	tet(K)	99.57	1380/1380	100.0	1..1380	NODE_57_length_4707_cov_6.418996	267..1646	Doxycycline, Tetracycline	U38656
R0047_MH0081	dfrG	100.00	498/498	100.0	1..498	NODE_13_length_76872_cov_6.477595	15672..16169	Trimethoprim	AB205645
R0047_TC0201	str	100.00	849/849	100.0	1..849	NODE_59_length_4388_cov_133.696550	1105..1953	Streptomycin	FN435330
R0047_TC0201	blaZ	100.00	846/846	100.0	1..846	NODE_22_length_38511_cov_5.339647	36921..37766	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
R0047_TH0405	blaZ	100.00	846/846	100.0	1..846	NODE_42_length_20857_cov_17.322238	5400..6245	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP010941
R0047_TH0405	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_64_length_4566_cov_60.203875	599..1978	Doxycycline, Tetracycline	U38656
R0051_BC00101	str	99.65	849/849	100.0	1..849	NODE_29_length_3990_cov_3232.713694	1425..2273	Streptomycin	X92946
R0051_BC00101	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_129116_cov_9.884820	69905..70750	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
R0051_BC00101	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_129116_cov_9.884820	69905..70750	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
R0051_BC00101	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_129116_cov_9.884820	69905..70750	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
R0051_BC00101	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_129116_cov_9.884820	69905..70750	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
R0051_BC00101	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_129116_cov_9.884820	69905..70750	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
R0051_BC00101	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_129116_cov_9.884820	69905..70750	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
R0051_BC00101	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_129116_cov_9.884820	69905..70750	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
R0051_BC00101	blaZ	99.88	846/846	100.0	1..846	NODE_6_length_129116_cov_9.884820	69905..70750	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
R0051_BC00115	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77410_cov_8.060738	6661..7506	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
R0051_BC00115	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77410_cov_8.060738	6661..7506	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
R0051_BC00115	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77410_cov_8.060738	6661..7506	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
R0051_BC00115	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77410_cov_8.060738	6661..7506	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
R0051_BC00115	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77410_cov_8.060738	6661..7506	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
R0051_BC00115	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77410_cov_8.060738	6661..7506	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
R0051_BC00115	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77410_cov_8.060738	6661..7506	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
R0051_BC00115	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77410_cov_8.060738	6661..7506	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
R0051_BC00306	blaZ	99.88	846/846	100.0	1..846	NODE_37_length_20857_cov_25.701495	11951..12796	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP010941
R0051_BC00306	erm(C)	100.00	735/735	100.0	1..735	NODE_68_length_2600_cov_147.364739	1062..1796	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
R0051_BC00306	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_60_length_4501_cov_201.017375	1050..2429	Doxycycline, Tetracycline	U38656
R0051_BC00306	dfrG	100.00	498/498	100.0	1..498	NODE_2_length_194627_cov_6.851748	164448..164945	Trimethoprim	AB205645
R0051_BH00403	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77323_cov_32.157171	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	MAJJ01000071
R0051_BH00403	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77323_cov_32.157171	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	FKPS01000007
R0051_BH00403	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77323_cov_32.157171	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVAT01000021
R0051_BH00403	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77323_cov_32.157171	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JUUA01000057
R0051_BH00403	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77323_cov_32.157171	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVLY01000044
R0051_BH00403	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77323_cov_32.157171	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	NZ_JVRB01000003
R0051_BH00403	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77323_cov_32.157171	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFD01000012
R0051_BH00403	blaZ	99.88	846/846	100.0	1..846	NODE_10_length_77323_cov_32.157171	69898..70743	Amoxicillin, Ampicillin, Penicillin, Piperacillin	JIFU01000008
R0051_BH00403	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_21_length_4590_cov_302.170513	1583..2962	Doxycycline, Tetracycline	U38656
R0051_DADST084	blaZ	100.00	846/846	100.0	1..846	NODE_20_length_20530_cov_37.549331	13012..13857	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP000732
R0051_DADST088	blaZ	100.00	846/846	100.0	1..846	NODE_13_length_20530_cov_80.313434	3242..4087	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP000732
R0051_HK2002	blaZ	99.89	888/888	100.0	1..888	NODE_43_length_21536_cov_9.219487	4474..5361	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP003979
R0051_TC00219	str	100.00	849/849	100.0	1..849	NODE_22_length_4523_cov_608.903321	3140..3988	Streptomycin	FN435330
R0051_TC00219	blaZ	100.00	846/846	100.0	1..846	NODE_7_length_109823_cov_20.321452	71900..72745	Amoxicillin, Ampicillin, Penicillin, Piperacillin	AHVO01000010
R0051_TC00402	blaZ	99.89	888/888	100.0	1..888	NODE_11_length_91817_cov_33.478242	71719..72606	Amoxicillin, Ampicillin, Penicillin, Piperacillin	CP003979
R0051_TC00402	erm(C)	100.00	735/735	100.0	1..735	NODE_37_length_2600_cov_807.035584	279..1013	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	M13761
R0051_TC00402	dfrG	100.00	498/498	100.0	1..498	NODE_15_length_68354_cov_43.924048	42300..42797	Trimethoprim	AB205645
R0051_TC00505	tet(K)	100.00	1380/1380	100.0	1..1380	NODE_21_length_4566_cov_5231.029286	2618..3997	Doxycycline, Tetracycline	U38656
